title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Saving Private Ryan,"$508,694","$508,694",Fathom Events,"$265,125",642,"$70,000,000",R,"Drama,War",254
Pacific Rim: Uprising,"$59,874,525","$290,930,148",Universal Pictures,"$28,116,535","3,708","$150,000,000",PG-13,"Action,Adventure,Sci-Fi",284
Blockers,"$60,311,495","$94,017,294",Universal Pictures,"$20,556,350","3,379","$21,000,000",R,Comedy,270
The Mule,"$103,804,407","$174,804,407",Warner Bros.,"$17,509,431","2,588","$50,000,000",R,"Crime,Drama,Thriller",424
Instant Family,"$67,363,237","$120,556,201",Paramount Pictures,"$14,504,315","3,286","$48,000,000",PG-13,"Comedy,Drama",411
Skyscraper,"$68,420,120","$304,868,961",Universal Pictures,"$24,905,015","3,782","$125,000,000",PG-13,"Action,Adventure,Thriller",172
Insidious: The Last Key,"$67,745,330","$167,885,588",Universal Pictures,"$29,581,355","3,116","$10,000,000",PG-13,"Horror,Mystery,Thriller",361
The House with a Clock in Its Walls,"$68,549,695","$131,457,147",Universal Pictures,"$26,608,020","3,592","$42,000,000",PG,"Comedy,Family,Fantasy,Horror,Sci-Fi",467
The First Purge,"$69,488,745","$137,056,262",Universal Pictures,"$17,374,280","3,031","$13,000,000",R,"Action,Horror,Sci-Fi,Thriller",181
Bumblebee,"$127,195,589","$467,989,645",Paramount Pictures,"$21,654,047","3,550","$135,000,000",PG-13,"Action,Adventure,Sci-Fi",417
Game Night,"$69,179,066","$117,679,066",Warner Bros.,"$17,005,332","3,488","$37,000,000",R,"Action,Comedy,Crime,Mystery",312
Night School,"$77,339,130","$103,105,878",Universal Pictures,"$27,257,615","3,010","$29,000,000",PG-13,Comedy,460
The Post,"$81,903,458","$179,769,457",Twentieth Century Fox,"$526,011",9,"$50,000,000",PG-13,"Biography,Drama,History,Thriller",375
Almost Christmas,"$42,158,780","$42,580,920",Universal Pictures,"$15,134,235","2,376","$17,000,000",PG-13,"Comedy,Drama",416
My Fair Lady,"$560,711","$560,711",Fathom Events,"$354,764",652,"$17,000,000",G,"Drama,Family,Musical,Romance",359
Christopher Robin,"$99,215,042","$197,744,377",Walt Disney Studios Motion Pictures,"$24,585,139","3,602","$75,000,000",PG,"Adventure,Comedy,Drama,Family,Fantasy",154
I Can Only Imagine,"$83,482,352","$86,026,201",Roadside Attractions,"$17,108,914","1,629","$7,000,000",PG,"Biography,Drama,Family,Music",291
Fifty Shades Freed,"$100,407,760","$371,985,018",Universal Pictures,"$38,560,195","3,768","$55,000,000",R,"Drama,Romance,Thriller",326
The Equalizer 2,"$102,084,362","$190,400,157",Sony Pictures Releasing,"$36,011,640","3,388","$62,000,000",R,"Action,Crime,Thriller",165
Rampage,"$101,028,233","$428,028,233",Warner Bros.,"$35,753,093","4,101","$120,000,000",PG-13,"Action,Adventure,Sci-Fi",263
Star Wars: Episode VIII - The Last Jedi,"$620,181,382","$1,332,539,889",Walt Disney Studios Motion Pictures,"$220,009,584","4,232","$317,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi",382
Mary Poppins Returns,"$171,958,438","$349,537,494",Walt Disney Studios Motion Pictures,"$23,523,121","4,090","$130,000,000",PG,"Comedy,Family,Fantasy,Musical",419
Peter Rabbit,"$115,253,424","$351,266,433",Sony Pictures Releasing,"$25,010,928","3,725","$50,000,000",PG,"Adventure,Comedy,Family,Fantasy",326
The Nun,"$117,450,119","$365,550,119",Warner Bros.,"$53,807,379","3,876","$22,000,000",R,"Horror,Mystery,Thriller",119
Creed II,"$115,715,889","$214,215,889",Metro-Goldwyn-Mayer (MGM),"$35,574,710","3,441","$50,000,000",PG-13,"Drama,Sport",447
Mamma Mia! Here We Go Again,"$120,634,935","$395,044,706",Universal Pictures,"$34,952,180","3,317","$75,000,000",PG-13,"Comedy,Musical,Romance",165
The Greatest Showman,"$174,340,174","$434,993,183",Twentieth Century Fox,"$8,805,843","3,006","$84,000,000",PG,"Biography,Drama,Musical",377
Ready Player One,"$137,690,172","$582,890,172",Warner Bros.,"$41,764,050","4,234","$175,000,000",PG-13,"Action,Adventure,Sci-Fi",278
All I See Is You,"$217,644","$678,150",Open Road Films (II),"$144,076",283,"$30,000,000",R,"Drama,Mystery,Romance",70
Donnie Darko,"$207,971","$212,034",Arrow Films,"$57,259",21,"$6,000,000",R,"Drama,Mystery,Sci-Fi,Thriller",276
The Meg,"$145,443,742","$530,243,742",Warner Bros.,"$45,402,195","4,118","$130,000,000",PG-13,"Action,Horror,Sci-Fi,Thriller",147
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$654,855,901",Warner Bros.,"$62,163,104","4,163","$200,000,000",PG-13,"Adventure,Family,Fantasy",452
Ocean's Eight,"$140,218,711","$297,718,711",Warner Bros.,"$41,607,378","4,145","$70,000,000",PG-13,"Action,Comedy,Crime,Thriller",207
Crazy Rich Asians,"$174,532,921","$238,532,921",Warner Bros.,"$26,510,140","3,384","$30,000,000",PG-13,"Comedy,Drama,Romance",504
Hotel Transylvania 3: Summer Vacation,"$167,510,016","$528,583,774",Sony Pictures Releasing,"$44,076,225","4,267","$80,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",175
Ralph Breaks the Internet,"$201,091,711","$529,323,962",Walt Disney Studios Motion Pictures,"$56,237,634","4,017","$175,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",447
Halloween,"$159,342,015","$255,485,178",Universal Pictures,"$76,221,545","3,928","$10,000,000",R,"Horror,Thriller",439
A Quiet Place,"$188,024,361","$340,939,361",Paramount Pictures,"$50,203,562","3,508","$17,000,000",PG-13,"Drama,Horror,Sci-Fi",270
Bohemian Rhapsody,"$216,428,042","$903,655,259",Twentieth Century Fox,"$51,061,119","4,000","$52,000,000",PG-13,"Biography,Drama,Music",466
Venom,"$213,515,506","$856,085,151",Sony Pictures Releasing,"$80,255,756","4,250","$100,000,000",PG-13,"Action,Sci-Fi,Thriller",453
